Area,Room,Parking,Warehouse,Elevator,Address,PriceR,PriceM,PriceMC
74,2,TRUE,TRUE,TRUE,11,1700000000,1700,5440
88,3,FALSE,FALSE,TRUE,22,560000000,560,1792
114,3,TRUE,TRUE,TRUE,5,5500000000,5500,17600
100,3,TRUE,TRUE,TRUE,2,10200000000,10200,32640
42,1,TRUE,FALSE,TRUE,5,1760000000,1760,5632
74,2,TRUE,TRUE,TRUE,11,1700000000,1700,5440
88,3,FALSE,FALSE,TRUE,22,560000000,560,1792
114,3,TRUE,TRUE,TRUE,5,5500000000,5500,17600
100,3,TRUE,TRUE,TRUE,2,10200000000,10200,32640
42,1,TRUE,FALSE,TRUE,5,1760000000,1760,5632
110,2,TRUE,TRUE,TRUE,5,3730000000,3730,11936
140,1,FALSE,FALSE,FALSE,22,580000000,580,1856
70,2,TRUE,TRUE,TRUE,1,3050000000,3050,9760
60,2,TRUE,TRUE,FALSE,5,2000000000,2000,6400
76,2,TRUE,TRUE,TRUE,5,2600000000,2600,8320
148,3,TRUE,TRUE,TRUE,3,5990000000,5990,19168
75,2,TRUE,TRUE,TRUE,5,2300000000,2300,7360
40,1,TRUE,TRUE,FALSE,14,1300000000,1300,4160
65,2,TRUE,TRUE,TRUE,5,2270000000,2270,7264
140,3,TRUE,TRUE,TRUE,22,4000000000,4000,12800
110,2,TRUE,TRUE,TRUE,22,4000000000,4000,12800
70,2,TRUE,FALSE,TRUE,5,1650000000,1650,5280
128,3,TRUE,TRUE,TRUE,2,6700000000,6700,21440
94,2,TRUE,TRUE,TRUE,22,580000000,580,1856
67,1,TRUE,TRUE,TRUE,2,2300000000,2300,7360
75,1,TRUE,TRUE,TRUE,11,650000000,650,2080
130,2,TRUE,TRUE,TRUE,3,16900000000,16900,54080
40,0,FALSE,FALSE,FALSE,8,248000000,248,793.6
97,2,TRUE,TRUE,TRUE,22,510000000,510,1632
110,2,TRUE,TRUE,TRUE,5,3850000000,3850,12320
75,2,FALSE,FALSE,FALSE,5,780000000,780,2496
137,3,TRUE,TRUE,TRUE,2,7200000000,7200,23040
85,2,TRUE,TRUE,TRUE,22,410000000,410,1312
68,2,FALSE,TRUE,FALSE,22,430000000,430,1376
78,2,FALSE,TRUE,FALSE,11,800000000,800,2560
85,2,TRUE,TRUE,TRUE,22,545000000,545,1744
100,2,TRUE,TRUE,FALSE,22,1280000000,1280,4096
71,2,TRUE,TRUE,TRUE,2,2800000000,2800,8960
140,3,TRUE,TRUE,TRUE,2,11200000000,11200,35840
136,3,TRUE,TRUE,FALSE,22,750000000,750,2400
48,1,FALSE,FALSE,FALSE,10,850000000,850,2720
100,2,TRUE,TRUE,TRUE,3,3300000000,3300,10560
82,2,TRUE,FALSE,TRUE,2,3280000000,3280,10496
120,3,TRUE,TRUE,TRUE,6,4800000000,4800,15360
139,3,TRUE,TRUE,TRUE,2,7300000000,7300,23360
110,3,TRUE,TRUE,TRUE,6,3950000000,3950,12640
78,2,FALSE,FALSE,TRUE,22,370000000,370,1184
79,2,FALSE,FALSE,FALSE,11,750000000,750,2400
66,2,TRUE,TRUE,TRUE,8,1725000000,1725,5520
78,2,TRUE,TRUE,TRUE,11,780000000,780,2496
85,2,TRUE,TRUE,TRUE,22,1419000000,1419,4540.8
100,2,TRUE,TRUE,FALSE,7,1200000000,1200,3840
80,2,TRUE,TRUE,TRUE,5,3600000000,3600,11520
44,1,TRUE,TRUE,FALSE,6,1050000000,1050,3360
120,2,TRUE,TRUE,FALSE,22,1200000000,1200,3840
50,1,FALSE,TRUE,FALSE,11,340000000,340,1088
121,3,TRUE,TRUE,FALSE,9,3300000000,3300,10560
80,2,TRUE,TRUE,TRUE,11,2800000000,2800,8960
70,2,FALSE,TRUE,TRUE,5,1200000000,1200,3840
25,0,FALSE,FALSE,FALSE,22,165000000,165,528
88,2,TRUE,TRUE,TRUE,3,2860000000,2860,9152
141,3,TRUE,TRUE,TRUE,16,3810000000,3810,12192
140,3,TRUE,TRUE,TRUE,16,1790000000,1790,5728
66,2,FALSE,TRUE,FALSE,10,1000000000,1000,3200
70,2,TRUE,TRUE,TRUE,2,3500000000,3500,11200
75,2,TRUE,FALSE,TRUE,2,3000000000,3000,9600
70,2,FALSE,TRUE,TRUE,8,1800000000,1800,5760
95,2,TRUE,TRUE,TRUE,8,950000000,950,3040
127,2,TRUE,TRUE,TRUE,1,6000000000,6000,19200
123,3,TRUE,TRUE,TRUE,5,3700000000,3700,11840
63,2,TRUE,TRUE,TRUE,1,2000000000,2000,6400
90,2,TRUE,TRUE,TRUE,2,3050000000,3050,9760
105,2,TRUE,TRUE,TRUE,22,605000000,605,1936
180,3,TRUE,TRUE,TRUE,4,9900000000,9900,31680
120,3,TRUE,FALSE,TRUE,14,3700000000,3700,11840
65,2,TRUE,TRUE,TRUE,5,2500000000,2500,8000
180,3,TRUE,TRUE,TRUE,1,10480000000,10480,33536
144,3,TRUE,TRUE,TRUE,2,7632000000,7632,24422.4
144,3,TRUE,TRUE,TRUE,2,7632000000,7632,24422.4
130,3,TRUE,TRUE,TRUE,1,12300000000,12300,39360
245,3,TRUE,TRUE,TRUE,1,26950000000,26950,86240
190,3,TRUE,TRUE,TRUE,1,24300000000,24300,77760
63,2,TRUE,TRUE,TRUE,2,3000000000,3000,9600
75,2,TRUE,TRUE,TRUE,5,2100000000,2100,6720
88,2,TRUE,FALSE,TRUE,5,4700000000,4700,15040
108,2,TRUE,TRUE,TRUE,4,9180000000,9180,29376
117,2,TRUE,TRUE,TRUE,22,79500000,79.5,254.4
200,3,TRUE,TRUE,TRUE,4,12000000000,12000,38400
65,1,TRUE,TRUE,FALSE,14,1750000000,1750,5600
90,2,TRUE,TRUE,TRUE,2,3780000000,3780,12096
125,2,TRUE,TRUE,TRUE,4,8100000000,8100,25920
140,3,TRUE,TRUE,TRUE,4,9100000000,9100,29120
71,2,FALSE,TRUE,TRUE,10,1640000000,1640,5248
236,4,TRUE,TRUE,TRUE,1,20000000000,20000,64000
67,2,TRUE,TRUE,TRUE,2,2750000000,2750,8800
60,1,TRUE,TRUE,TRUE,2,1750000000,1750,5600
220,3,TRUE,TRUE,TRUE,4,400000000,400,1280
44,1,TRUE,TRUE,FALSE,22,350000000,350,1120
100,2,TRUE,TRUE,TRUE,4,8000000000,8000,25600
86,2,TRUE,TRUE,TRUE,22,580000000,580,1856
84,2,TRUE,TRUE,TRUE,22,560000000,560,1792
94,2,TRUE,TRUE,TRUE,4,4800000000,4800,15360
113,2,TRUE,TRUE,TRUE,2,7500000000,7500,24000
71,2,TRUE,TRUE,TRUE,22,630000000,630,2016
70,2,TRUE,TRUE,FALSE,5,2000000000,2000,6400
200,3,TRUE,TRUE,TRUE,5,2400000000,2400,7680
106,2,TRUE,TRUE,TRUE,5,1100000000,1100,3520
320,4,TRUE,TRUE,TRUE,2,24000000000,24000,76800
114,2,TRUE,TRUE,TRUE,22,3820000000,3820,12224
100,2,TRUE,TRUE,TRUE,2,6000000000,6000,19200
122,2,TRUE,TRUE,TRUE,2,5800000000,5800,18560
200,2,TRUE,TRUE,FALSE,22,3500000000,3500,11200
400,3,TRUE,TRUE,TRUE,2,12300000000,12300,39360
210,3,TRUE,TRUE,TRUE,4,750000000,750,2400
200,3,TRUE,TRUE,TRUE,5,11000000000,11000,35200
65,1,TRUE,TRUE,TRUE,1,3000000000,3000,9600
124,3,TRUE,TRUE,TRUE,14,3968000000,3968,12697.6
83,2,TRUE,TRUE,TRUE,5,1909000000,1909,6108.8
270,4,TRUE,TRUE,TRUE,1,37800000000,37800,120960
104,2,TRUE,TRUE,TRUE,5,5700000000,5700,18240
103,3,TRUE,TRUE,TRUE,5,3200000000,3200,10240
48,1,TRUE,TRUE,TRUE,5,1920000000,1920,6144
165,3,TRUE,TRUE,TRUE,1,12300000000,12300,39360
135,2,TRUE,TRUE,FALSE,1,7400000000,7400,23680
86,2,TRUE,TRUE,TRUE,2,6200000000,6200,19840
75,2,TRUE,TRUE,TRUE,5,2350000000,2350,7520
58,1,TRUE,TRUE,TRUE,5,1850000000,1850,5920
125,2,TRUE,TRUE,TRUE,2,200000000,200,640
82,2,TRUE,TRUE,TRUE,2,1886000000,1886,6035.2
58,2,TRUE,TRUE,TRUE,5,2200000000,2200,7040
101,2,TRUE,TRUE,TRUE,10,2323000000,2323,7433.6
90,2,TRUE,TRUE,TRUE,1,6800000000,6800,21760
180,3,TRUE,TRUE,TRUE,1,20700000000,20700,66240
132,3,TRUE,TRUE,TRUE,1,6250000000,6250,20000
81,2,TRUE,TRUE,TRUE,5,1863000000,1863,5961.6
300,3,TRUE,TRUE,TRUE,4,13000000000,13000,41600
166,3,TRUE,TRUE,TRUE,3,12500000000,12500,40000
200,3,TRUE,TRUE,TRUE,4,17000000000,17000,54400
113,2,TRUE,TRUE,TRUE,4,8500000000,8500,27200
100,2,TRUE,TRUE,TRUE,5,2300000000,2300,7360
80,2,TRUE,TRUE,TRUE,2,3350000000,3350,10720
76,2,TRUE,TRUE,TRUE,10,2000000000,2000,6400
128,3,TRUE,TRUE,TRUE,2,5700000000,5700,18240
210,3,TRUE,TRUE,TRUE,2,27000000000,27000,86400
140,2,TRUE,TRUE,TRUE,2,12600000000,12600,40320
74,2,TRUE,TRUE,TRUE,11,1702000000,1702,5446.4
75,1,TRUE,TRUE,TRUE,2,3000000000,3000,9600
120,2,TRUE,TRUE,TRUE,4,7500000000,7500,24000
120,2,TRUE,TRUE,TRUE,4,7500000000,7500,24000
85,2,TRUE,TRUE,TRUE,2,5000000000,5000,16000
105,2,TRUE,TRUE,TRUE,22,700000000,700,2240
175,3,TRUE,TRUE,TRUE,1,600000000,600,1920
170,3,TRUE,TRUE,TRUE,1,350000000,350,1120
58,1,TRUE,TRUE,TRUE,5,2810000000,2810,8992
75,2,TRUE,TRUE,TRUE,22,395000000,395,1264
62,1,TRUE,TRUE,TRUE,5,1850000000,1850,5920
93,2,TRUE,TRUE,TRUE,22,1450000000,1450,4640
86,2,TRUE,TRUE,FALSE,22,1200000000,1200,3840
120,2,TRUE,TRUE,TRUE,5,4260000000,4260,13632
70,2,TRUE,TRUE,FALSE,5,2120000000,2120,6784
75,2,TRUE,TRUE,FALSE,5,2000000000,2000,6400
81,2,TRUE,FALSE,TRUE,22,590000000,590,1888
65,1,TRUE,TRUE,FALSE,5,1930000000,1930,6176
75,2,TRUE,TRUE,TRUE,5,2730000000,2730,8736
100,2,TRUE,TRUE,TRUE,5,3000000000,3000,9600
118,2,TRUE,TRUE,TRUE,5,4500000000,4500,14400
116,2,TRUE,TRUE,TRUE,5,5100000000,5100,16320
76,2,TRUE,TRUE,TRUE,5,2200000000,2200,7040
74,2,TRUE,TRUE,FALSE,5,2300000000,2300,7360
96,2,TRUE,TRUE,TRUE,2,4500000000,4500,14400
87,2,TRUE,TRUE,TRUE,22,625000000,625,2000
43,1,TRUE,TRUE,FALSE,1,1620000000,1620,5184
50,3,TRUE,TRUE,TRUE,1,17050000000,17050,54560
53,1,TRUE,TRUE,TRUE,5,1920000000,1920,6144
160,3,TRUE,TRUE,TRUE,1,17600000000,17600,56320
78,2,TRUE,TRUE,TRUE,5,2250000000,2250,7200
230,3,TRUE,TRUE,TRUE,1,25300000000,25300,80960
55,1,TRUE,TRUE,TRUE,5,1850000000,1850,5920
120,2,TRUE,TRUE,FALSE,2,11700000000,11700,37440
78,2,TRUE,TRUE,TRUE,1,3600000000,3600,11520
95,2,TRUE,TRUE,TRUE,1,4400000000,4400,14080
170,3,TRUE,TRUE,TRUE,1,400000000,400,1280
175,3,TRUE,TRUE,TRUE,2,22750000000,22750,72800
100,3,TRUE,TRUE,TRUE,2,4500000000,4500,14400
113,2,TRUE,TRUE,TRUE,2,4300000000,4300,13760
85,2,TRUE,TRUE,TRUE,2,3380000000,3380,10816
140,3,TRUE,TRUE,TRUE,2,10000000000,10000,32000
90,2,TRUE,TRUE,TRUE,2,6500000000,6500,20800
63,1,TRUE,FALSE,FALSE,2,2200000000,2200,7040
75,2,TRUE,TRUE,TRUE,2,3220000000,3220,10304
130,3,TRUE,TRUE,TRUE,2,6240000000,6240,19968
91,2,TRUE,TRUE,TRUE,2,3350000000,3350,10720
121,3,TRUE,TRUE,TRUE,16,3650000000,3650,11680
140,3,TRUE,TRUE,TRUE,2,500000000,500,1600
126,2,TRUE,TRUE,TRUE,5,5500000000,5500,17600
450,2,TRUE,TRUE,FALSE,22,4200000000,4200,13440
500,2,TRUE,TRUE,FALSE,22,3900000000,3900,12480
110,1,TRUE,TRUE,TRUE,4,6600000000,6600,21120
145,3,TRUE,TRUE,TRUE,5,4700000000,4700,15040
64,2,TRUE,TRUE,TRUE,5,2200000000,2200,7040
112,2,TRUE,TRUE,TRUE,5,3680000000,3680,11776
192,3,TRUE,TRUE,TRUE,2,12670000000,12670,40544
164,3,TRUE,TRUE,TRUE,2,10000000000,10000,32000
135,3,TRUE,TRUE,TRUE,4,8100000000,8100,25920
170,3,TRUE,TRUE,TRUE,8,9200000000,9200,29440
130,3,TRUE,TRUE,TRUE,8,5200000000,5200,16640
84,2,TRUE,TRUE,TRUE,5,3400000000,3400,10880
82,2,TRUE,TRUE,TRUE,5,3550000000,3550,11360
265,3,TRUE,TRUE,TRUE,1,20000000000,20000,64000
60,1,TRUE,TRUE,TRUE,1,1950000000,1950,6240
145,3,TRUE,TRUE,TRUE,4,500000000,500,8000
65,1,FALSE,TRUE,TRUE,1,2000000000,2000,6400
60,1,TRUE,TRUE,FALSE,1,2280000000,2280,7296
63,2,TRUE,TRUE,TRUE,1,2000000000,2000,6400
70,2,TRUE,TRUE,TRUE,1,1950000000,1950,6240
92,2,TRUE,TRUE,TRUE,5,3900000000,3900,12480
98,2,TRUE,TRUE,TRUE,4,7800000000,7800,24960
62,1,TRUE,TRUE,TRUE,1,2280000000,2280,7296
65,1,TRUE,TRUE,TRUE,2,2900000000,2900,9280
90,2,TRUE,TRUE,TRUE,1,5000000000,5000,16000
59,2,TRUE,TRUE,TRUE,1,1900000000,1900,6080
63,2,TRUE,TRUE,TRUE,1,2000000000,2000,6400
60,2,TRUE,TRUE,TRUE,1,2200000000,2200,7040
70,2,TRUE,TRUE,TRUE,1,2500000000,2500,8000
60,1,TRUE,TRUE,TRUE,1,2200000000,2200,7040
165,3,TRUE,TRUE,TRUE,4,10500000000,10500,33600
135,2,TRUE,TRUE,TRUE,1,17500000000,17500,56000
65,1,TRUE,TRUE,TRUE,1,2000000000,2000,6400
60,1,TRUE,TRUE,TRUE,1,2250000000,2250,7200
60,1,TRUE,TRUE,TRUE,1,2250000000,2250,7200
86,2,TRUE,TRUE,TRUE,1,3600000000,3600,11520
109,2,TRUE,TRUE,TRUE,4,6000000000,6000,19200
98,2,TRUE,TRUE,FALSE,4,2842000000,2842,9094.4
80,2,TRUE,TRUE,TRUE,2,3120000000,3120,9984
143,3,TRUE,TRUE,TRUE,1,8860000000,8860,28352
95,2,TRUE,TRUE,TRUE,2,4550000000,4550,14560
86,2,TRUE,TRUE,TRUE,2,3700000000,3700,11840
160,3,TRUE,TRUE,TRUE,1,10000000000,10000,32000
200,3,TRUE,TRUE,TRUE,4,16580000000,16580,53056
74,1,TRUE,TRUE,TRUE,2,3250000000,3250,10400
350,3,TRUE,TRUE,TRUE,1,52500000000,52500,168000
87,2,TRUE,TRUE,TRUE,1,3550000000,3550,11360
82,2,TRUE,TRUE,TRUE,5,3450000000,3450,11040
55,1,TRUE,TRUE,TRUE,5,2490000000,2490,7968
148,3,TRUE,TRUE,TRUE,2,8400000000,8400,26880
55,1,TRUE,FALSE,TRUE,5,2020000000,2020,6464
100,2,TRUE,TRUE,FALSE,1,3800000000,3800,12160
130,3,TRUE,TRUE,TRUE,2,5300000000,5300,16960
335,4,TRUE,TRUE,TRUE,2,33500000000,33500,107200
320,4,TRUE,TRUE,TRUE,2,40000000000,40000,128000
192,3,TRUE,TRUE,TRUE,2,19500000000,19500,62400
100,2,TRUE,TRUE,TRUE,1,8000000000,8000,25600
148,3,TRUE,TRUE,TRUE,2,14800000000,14800,47360
145,2,TRUE,TRUE,TRUE,2,14700000000,14700,47040
192,4,TRUE,TRUE,TRUE,2,22000000000,22000,70400
235,3,TRUE,TRUE,TRUE,5,16450000000,16450,52640
225,3,TRUE,TRUE,TRUE,4,750000000,750,2400
221,4,TRUE,TRUE,TRUE,2,25000000000,25000,80000
312,4,TRUE,TRUE,TRUE,1,45000000000,45000,144000
188,3,TRUE,TRUE,TRUE,1,17672000000,17672,56550.4
170,2,TRUE,TRUE,TRUE,1,12400000000,12400,39680
198,3,TRUE,TRUE,TRUE,1,27720000000,27720,88704
80,2,TRUE,TRUE,TRUE,5,3100000000,3100,9920
170,3,TRUE,TRUE,TRUE,1,18700000000,18700,59840
110,2,TRUE,TRUE,TRUE,3,6600000000,6600,21120
650,2,TRUE,TRUE,FALSE,22,5200000000,5200,16640
200,3,TRUE,TRUE,TRUE,2,12000000000,12000,38400
101,3,TRUE,TRUE,TRUE,2,6500000000,6500,20800
104,2,TRUE,TRUE,TRUE,5,3850000000,3850,12320
70,2,TRUE,TRUE,TRUE,1,3200000000,3200,10240
76,2,TRUE,TRUE,FALSE,5,2570000000,2570,8224
110,2,TRUE,TRUE,TRUE,5,4300000000,4300,13760
160,2,TRUE,TRUE,TRUE,4,16200000000,16200,51840
179,3,TRUE,TRUE,TRUE,3,13800000000,13800,44160
256,3,TRUE,TRUE,TRUE,3,18500000000,18500,59200
90,2,TRUE,TRUE,TRUE,5,3850000000,3850,12320
77,2,TRUE,TRUE,TRUE,5,2570000000,2570,8224
96,2,TRUE,TRUE,TRUE,4,5600000000,5600,17920
75,1,TRUE,TRUE,TRUE,2,3250000000,3250,10400
79,2,TRUE,TRUE,TRUE,3,3000000000,3000,9600
67,1,TRUE,TRUE,TRUE,2,3400000000,3400,10880
125,2,TRUE,TRUE,TRUE,5,6400000000,6400,20480
75,2,TRUE,TRUE,FALSE,5,1890000000,1890,6048
75,2,TRUE,TRUE,FALSE,5,1890000000,1890,6048
91,2,TRUE,TRUE,TRUE,2,5400000000,5400,17280
105,2,TRUE,TRUE,TRUE,22,1417500000,1417.5,4536
86,2,TRUE,TRUE,TRUE,1,3270000000,3270,10464
72,2,TRUE,TRUE,FALSE,1,2380000000,2380,7616
148,2,TRUE,FALSE,TRUE,15,4500000000,4500,14400
84,2,TRUE,TRUE,TRUE,2,4600000000,4600,14720
128,2,TRUE,TRUE,TRUE,1,12800000000,12800,40960
65,1,TRUE,TRUE,TRUE,5,3900000000,3900,12480
140,3,TRUE,TRUE,TRUE,4,11800000000,11800,37760
105,2,TRUE,TRUE,TRUE,2,5700000000,5700,18240
87,2,TRUE,TRUE,TRUE,22,650000000,650,2080
75,2,TRUE,TRUE,FALSE,5,1890000000,1890,6048
60,1,TRUE,TRUE,TRUE,16,875000000,875,2800
68,1,TRUE,TRUE,TRUE,5,2630000000,2630,8416
49,1,TRUE,TRUE,TRUE,5,2200000000,2200,7040
103,2,TRUE,TRUE,TRUE,2,9270000000,9270,29664
55,1,TRUE,TRUE,TRUE,5,2200000000,2200,7040
140,3,TRUE,TRUE,TRUE,2,7700000000,7700,24640
257,4,TRUE,TRUE,TRUE,16,12850000000,12850,41120
82,2,TRUE,TRUE,TRUE,2,4018000000,4018,12857.6
167,3,TRUE,TRUE,TRUE,2,10688000000,10688,34201.6
53,1,FALSE,TRUE,FALSE,5,1640000000,1640,5248
54,1,TRUE,TRUE,FALSE,5,2130000000,2130,6816
82,2,TRUE,TRUE,TRUE,5,4100000000,4100,13120
75,2,TRUE,TRUE,TRUE,5,2800000000,2800,8960
98,2,TRUE,TRUE,TRUE,5,4520000000,4520,14464
75,2,TRUE,TRUE,FALSE,5,1890000000,1890,6048
70,1,TRUE,TRUE,TRUE,1,5600000000,5600,17920
75,2,TRUE,TRUE,FALSE,5,1890000000,1890,6048
64,1,TRUE,TRUE,TRUE,5,3700000000,3700,11840
85,2,TRUE,TRUE,TRUE,10,2100000000,2100,6720
48,1,FALSE,TRUE,FALSE,6,980000000,980,3136
75,2,TRUE,TRUE,FALSE,5,1890000000,1890,6048
246,3,TRUE,TRUE,TRUE,2,22500000000,22500,72000
168,3,TRUE,TRUE,TRUE,1,14000000000,14000,44800
280,4,TRUE,TRUE,TRUE,2,38500000000,38500,123200
75,2,TRUE,TRUE,FALSE,5,1890000000,1890,6048
84,2,TRUE,TRUE,TRUE,22,680000000,680,2176
75,2,TRUE,TRUE,FALSE,5,1890000000,1890,6048
108,2,TRUE,TRUE,TRUE,2,5180000000,5180,16576
62,1,TRUE,TRUE,TRUE,5,2580000000,2580,8256
70,2,TRUE,TRUE,TRUE,1,3370000000,3370,10784
180,3,TRUE,TRUE,TRUE,4,9900000000,9900,31680
135,3,TRUE,TRUE,TRUE,2,6480000000,6480,20736
75,2,TRUE,TRUE,FALSE,5,1890000000,1890,6048
108,2,TRUE,TRUE,TRUE,1,6200000000,6200,19840
91,2,TRUE,TRUE,TRUE,2,5180000000,5180,16576
120,2,TRUE,TRUE,TRUE,1,8900000000,8900,28480
112,2,TRUE,TRUE,FALSE,1,7500000000,7500,24000
75,2,TRUE,TRUE,FALSE,5,1890000000,1890,6048
123,2,TRUE,TRUE,TRUE,14,4059000000,4059,12988.8
69,2,TRUE,TRUE,TRUE,14,1800000000,1800,5760
400,5,TRUE,TRUE,FALSE,2,85000000000,85000,272000
660,5,TRUE,TRUE,FALSE,2,55000000000,55000,176000
66,1,TRUE,FALSE,TRUE,14,1850000000,1850,5920
44,1,TRUE,TRUE,FALSE,14,880000000,880,2816
180,3,TRUE,TRUE,TRUE,5,9360000000,9360,29952
164,3,TRUE,TRUE,TRUE,5,9840000000,9840,31488
213,3,TRUE,TRUE,TRUE,5,14484000000,14484,46348.8
100,2,TRUE,TRUE,TRUE,5,3400000000,3400,10880
75,2,TRUE,TRUE,FALSE,5,1890000000,1890,6048
300,3,TRUE,TRUE,TRUE,1,55500000000,55500,177600
126,3,TRUE,TRUE,TRUE,9,3000000000,3000,9600
85,2,TRUE,TRUE,TRUE,3,2500000000,2500,8000
75,2,TRUE,TRUE,FALSE,5,1890000000,1890,6048
57,1,FALSE,TRUE,TRUE,3,1270000000,1270,4064
61,1,FALSE,TRUE,FALSE,5,1990000000,1990,6368
79,2,TRUE,TRUE,TRUE,10,1817000000,1817,5814.4
68,1,TRUE,TRUE,TRUE,14,2450000000,2450,7840
105,2,TRUE,TRUE,TRUE,22,1000000000,1000,3200
105,2,TRUE,TRUE,TRUE,2,7700000000,7700,24640
160,2,TRUE,TRUE,TRUE,22,1930000000,1930,6176
100,2,TRUE,TRUE,TRUE,22,585000000,585,1872
125,3,TRUE,TRUE,TRUE,2,12500000000,12500,40000
94,2,TRUE,FALSE,TRUE,22,990000000,990,3168
80,2,FALSE,TRUE,FALSE,1,2200000000,2200,7040
75,2,TRUE,FALSE,TRUE,5,2300000000,2300,7360
99,3,TRUE,TRUE,TRUE,5,4190000000,4190,13408
90,2,TRUE,TRUE,TRUE,5,4099000000,4099,13116.8
129,3,TRUE,TRUE,TRUE,5,4500000000,4500,14400
245,3,TRUE,TRUE,TRUE,1,36500000000,36500,116800
102,2,TRUE,TRUE,FALSE,5,2030000000,2030,6496
141,3,TRUE,TRUE,TRUE,22,1225000000,1225,3920
96,2,TRUE,TRUE,TRUE,5,3840000000,3840,12288
500,3,TRUE,TRUE,TRUE,4,8600000000,8600,27520
300,5,TRUE,TRUE,TRUE,1,55500000000,55500,177600
